t,step,linear,cosine,impulse (0.05s)
0.024399999999999908,2.4287198543459976e-05,9.62181070377533e-05,5.970649764806544e-05,0.11330871723470838
0.024499999999999907,2.72950020256118e-05,0.00010811112838081898,6.709395445792877e-05,0.12453639253637573
0.024599999999999907,3.0649481976920605e-05,0.00012137128102145371,7.533178639384508e-05,0.13674806948170948
0.024699999999999906,3.438742657694982e-05,0.00013614308317735555,8.451006234165975e-05,0.15001664696047667
0.024799999999999905,3.854916245687625e-05,0.00015258487169456073,9.47274890405966e-05,0.1644191344100256
0.024899999999999905,4.3178855687856264e-05,0.0001708699659672405,0.00010609214219089813,0.18003676521041465
0.024999999999999904,4.832483443297187e-05,0.00019118791404254488,0.00011872224969948101,0.1969551018643625
0.025099999999999904,5.403993445279094e-05,0.00021374582525348693,0.00013274702980163667,0.21526413161264796
0.025199999999999903,6.0381868677883433e-05,0.0002387697937725795,0.00014830758700788582,0.23505835106459694
0.025299999999999902,6.741362214385053e-05,0.00026650641756601476,0.0001655578687328451,0.2564368383553396
0.025399999999999902,7.520387352621338e-05,0.00029722441733656544,0.0001846656856529923,0.27950331127707434
0.0254999999999999,8.382744463032089e-05,0.0003312163600420873,0.00020581379877688128,0.3043661697717141
0.0255999999999999,9.336577913101482e-05,0.00036880049164571326,0.00022920107637453506,0.33113852111763387
